   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8   82.66   41.33     2       1       60
  64   32   50   16   68.01   34.01     3       1       60
  64   32   50   32   44.40   22.20     7       1       60
  64   32   50   64   26.69   13.35    14       1       60
  64   32   50  128   12.18    6.09    36       1       60
  64   32   50  256    6.12    3.06    83       1       60
  64   32   50  512    3.25    1.63   177       1       60
  64   32   50 1024    1.65    0.82   388       1       60
