   N    K    R   GF   Coded    Info   Lat
  64   32   50    8   56.58   28.00     3
  64   32   50   16   47.93   23.00     5
  64   32   50   32   30.36   15.00    10
  64   32   50   64   18.30    9.00    20
  64   32   50  128    8.19    4.00    54
  64   32   50  256    4.31    2.00   118
  64   32   50  512    2.24    1.00   257
  64   32   50 1024    1.11    0.00   576
