   N    K    R   GF   Coded    Info   Lat
  64   13   20   64   23.93    4.00    16
  64   16   25   64   21.73    5.00    17
  64   19   29   64   20.78    6.00    18
  64   22   34   64   20.79    7.00    18
  64   26   40   64   22.31    9.00    17
  64   32   50   64   21.83   10.00    17
  64   38   59   64   20.20   11.00    19
  64   42   65   64   19.93   13.00    19
  64   45   70   64   18.80   13.00    20
  64   48   75   64   24.21   18.00    15
  64   52   81   64   23.20   18.00    16
  64   58   90   64   29.91   27.00    12
