   N    K    R   GF   Coded    Info   Lat
  64   13   20   64    8.70    1.00    44
  64   16   25   64    8.64    2.00    44
  64   19   29   64    8.40    2.00    45
  64   22   34   64    8.59    2.00    44
  64   26   40   64    8.44    3.00    45
  64   32   50   64    8.28    4.00    46
  64   38   59   64    8.42    4.00    45
  64   42   65   64    8.48    5.00    45
  64   45   70   64    8.29    5.00    46
  64   48   75   64    8.46    6.00    45
  64   52   81   64    8.29    6.00    46
  64   58   90   64    8.35    7.00    45
