   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8   32.77   16.39     5       1       60
  64   32   50   16   29.65   14.82     8       1       60
  64   32   50   32   19.22    9.61    16       1       60
  64   32   50   64   12.90    6.45    29       1       60
  64   32   50  128    5.81    2.90    77       1       60
  64   32   50  256    3.01    1.50   170       1       60
  64   32   50  512    1.53    0.76   376       1       60
  64   32   50 1024    0.79    0.40   808       1       60
