   N    K    R   GF   Coded    Info   Lat
  64   13   20   64   34.61    7.00    11
  64   16   25   64   34.17    8.00    11
  64   19   29   64   34.19   10.00    11
  64   22   34   64   33.75   11.00    11
  64   26   40   64   33.12   13.00    11
  64   32   50   64   32.71   16.00    11
  64   38   59   64   32.34   19.00    11
  64   42   65   64   32.45   21.00    11
  64   45   70   64   32.25   22.00    11
  64   48   75   64   31.99   23.00    12
  64   52   81   64   31.83   25.00    12
  64   58   90   64   32.20   29.00    11
