   N    K    R   GF   Coded    Info   Lat
  64   32   50    8  367.06  183.00     0
  64   32   50   16  270.88  135.00     0
  64   32   50   32  172.32   86.00     1
  64   32   50   64  103.45   51.00     3
  64   32   50  128   44.74   22.00    10
  64   32   50  256   21.76   10.00    23
  64   32   50  512    9.82    4.00    58
  64   32   50 1024    4.94    2.00   129
