   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8  236.08  118.04     0       1        3
  64   32   50   16  187.59   93.79     1       1        3
  64   32   50   32  132.20   66.10     2       1        3
  64   32   50   64   91.26   45.63     4       1        3
  64   32   50  128   41.26   20.63    10       1        3
  64   32   50  256   20.14   10.07    25       1        3
  64   32   50  512    8.95    4.47    64       1        3
  64   32   50 1024    4.46    2.23   143       1        3
