   N    K    R   GF   Coded    Info   Lat
  64   13   20   64  114.45   23.00     3
  64   16   25   64  107.54   26.00     3
  64   19   29   64   96.10   28.00     3
  64   22   34   64   99.47   34.00     3
  64   26   40   64  109.70   44.00     3
  64   32   50   64  104.51   52.00     3
  64   38   59   64   94.61   56.00     4
  64   42   65   64   87.64   57.00     4
  64   45   70   64   83.77   58.00     4
  64   48   75   64  111.55   83.00     3
  64   52   81   64   98.83   80.00     3
  64   58   90   64  125.35  113.00     3
