   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8   85.43   42.71     2       1       30
  64   32   50   16   76.96   38.48     3       1       30
  64   32   50   32   59.79   29.89     5       1       30
  64   32   50   64   45.96   22.98     8       1       30
  64   32   50  128   20.82   10.41    21       1       30
  64   32   50  256   10.06    5.03    50       1       30
  64   32   50  512    4.96    2.48   116       1       30
  64   32   50 1024    2.53    1.27   252       1       30
